SubmissionDate,date,community_name,Cohort,Grazing Block,grazing_report_coordinates-Latitude,grazing_report_coordinates-Longitude,grazing_report_coordinates-Altitude,grazing_report_coordinates-Accuracy,number_of_animals,non_member_cattle_on_block,total number of animals
07:12:01,04/02/2025,Nakatindi_Kazungula,Cohort 0,,-17.5653993,25.1864188,945.3,4.6,131,0,131
07:50:23,04/02/2025,Kamusa,Cohort 0,Lower Lands,-17.3102663,24.9504626,972.7,4.6,2968,0,2968
09:41:34,04/02/2025,Nkuse,Cohort 1,Samatela Forest,-17.2449503,24.7040686,994.7,4.4,302,0,302
06:28:10,05/02/2025,Ibeele,Cohort 1,Ibeele,-17.0365714,24.3883682,1051.7,4.6,311,0,311
08:38:31,05/02/2025,Loanja,Cohort 1,Lisa La White,-17.2810242,24.784667,971.6,3.3,1905,0,1905
11:45:42,05/02/2025,Loanja,Cohort 1,Nongwa Upland,-17.318125,24.7433508,965.7,3.916,1505,0,1505
13:02:43,05/02/2025,Kazungwe,Cohort 1,Kazungwe Lisheke,-17.1559386,24.3379093,1027.6,2.7,300,0,300
14:55:49,05/02/2025,Kazungwe,Cohort 1,Kazungwe Lisheke,-17.4634415,24.2805932,981.1,4.1,300,0,300
16:57:41,05/02/2025,Kazungwe,Cohort 1,Kazungwe Mutemwa,-17.2401656,24.340424,1041.4,4.5,300,0,300
11:10:57,05/02/2025,Loanja,Cohort 1,Nongwa Upland,-17.3180602,24.7433112,960.7,3.6,1905,0,1905
14:23:16,05/02/2025,Kapokoto,Cohort 1,Li Baala La Kapokoto,-17.3743061,24.3530054,1017,3.2,230,0,230
15:14:17,05/02/2025,Kapokoto,Cohort 1,Mutemwa/ Harvested Fields,-17.3781887,24.3822957,1016.7,3.85,627,0,627
12:04:19,05/02/2025,Lusinina,Cohort 1,Lisheke,-17.1679567,24.5091733,1012.6,3.65,2009,0,2009
15:23:39,05/02/2025,Chisu,Cohort 1,Buhunda,-17.3101206,24.4103622,1042.1,4.3,1012,0,1012
18:09:36,05/02/2025,Lutaba,Cohort 1,Lupani,-17.1913742,24.787327,905.2,4.8,750,0,750
04:12:14,05/02/2025,Mutuwapafa,Cohort 1,Loanja Plains,-17.2161287,24.6274228,988.3,4.75,400,0,400
04:12:26,05/02/2025,Katongo,Cohort 1,Plain Leading To the Zambezi River,-17.4398677,24.4967624,952.3,4.9,3283,0,3283
04:13:16,05/02/2025,Nakatindi_Kazungula,Cohort 0,,-17.5510815,25.2170227,951,4.6,15,0,15
09:50:02,05/02/2025,Kobya,Cohort 0,Masese,-17.2928421,24.6317021,977.9,4.4,1415,0,1415
09:50:13,05/02/2025,Sitaba,Cohort 0,Sitaba Upland Forest,-17.2239083,24.9221059,949.8,4.783,32,0,32
13:54:14,05/02/2025,Simungoma,Cohort 1,Lusheshe,-17.421015,24.6466671,1175.4,2.733,870,5,875
08:48:01,06/02/2025,Kejaya,Cohort 0,Kejaya Plain,-17.1176713,25.05498,944.6,3.6,1200,13,1213
13:47:49,06/02/2025,Nakatindi_Kazungula,Cohort 0,,-17.5596258,25.188938,953.1,4.85,985,0,985
11:34:52,06/02/2025,Tahalima,Cohort 1,Upland Forest,-17.4062495,24.5895292,946,4.95,1961,0,1961
13:53:25,06/02/2025,Sawmills,Cohort 1,Sawmills Mutemwa/ Harvested Fields,-17.4332136,24.37453,1001.2,4.766,800,0,800
12:56:27,07/02/2025,Nakalonzya,Cohort 0,Nakalonzya Plain,-17.5484187,25.2671905,968.1,3,960,0,960
13:06:11,07/02/2025,Maondo,Cohort 1,Stock Movement (Closer To The Villages),-17.4272524,24.5343917,936.1,2.442,2152,0,2152
18:19:40,07/02/2025,Mushukula,Cohort 1,Loanja Plains,-17.0383382,24.4957022,1009.6,4.837,800,0,800
14:24:21,07/02/2025,Kakulwani,Cohort 1,Nakalamba Forest,-17.4189356,24.7610605,953.5,4.7,2550,0,2550
07:43:08,10/02/2025,Mutelo,Cohort 0,Musasa Plain,-17.09361,25.1216962,966.6,4.953,2011,122,2133
08:31:03,11/02/2025,Nkuse,Cohort 1,Samatela Forest,-17.255852,24.6944748,1000.6,4.866,304,0,304
06:14:35,11/02/2025,Nakatindi_Kazungula,Cohort 0,,-17.5651391,25.1875232,946.6,4.633,960,0,960
15:35:07,11/02/2025,Sitaba,Cohort 0,Sitaba Upland Forest,-17.2150181,24.9204099,957.2,4.85,2743,0,2743
04:18:52,12/02/2025,Ibeele,Cohort 1,Ibaa,-17.0063458,24.3751726,1056.1,4.76,100,0,100
08:24:21,12/02/2025,Kazungwe,Cohort 1,Lisheke,-17.1874736,24.3366538,1076.5,4.76,125,0,125
08:54:24,12/02/2025,Kakulwani,Cohort 1,Nakalamba Forest,-17.4197162,24.7439495,918.9,4.05,2545,0,2545
09:50:22,12/02/2025,Lutaba,Cohort 1,Libala,-17.1550893,24.7161268,952.4,4.76,800,0,800
11:47:41,12/02/2025,Maondo,Cohort 1,Stock Movement (Closer To The Villages),-17.441865,24.5429024,953.4,4.956,3038,0,3038
13:19:29,12/02/2025,Lusinina,Cohort 1,Lisheke,-17.1712194,24.5073665,995.4,4.983,2013,0,2013
14:41:48,12/02/2025,Kobya,Cohort 0,Nanyotwa,-17.3068494,24.6560503,994.1,4.1,1395,0,1395
17:13:13,12/02/2025,Tahalima,Cohort 1,Lusheshe,-17.414815,24.564755,954,4.706,1959,0,1959
19:31:19,12/02/2025,Mutuwapafa,Cohort 1,Loanja Plains,-17.2637004,24.6458689,1028.7,4.783,300,0,300
07:12:22,12/02/2025,Situwa,Cohort 0,Katukula,-17.590384,25.2353788,953.5,4.883,477,26,503
09:51:08,12/02/2025,Silangu,Cohort 0,Kandumbwi,-17.2636675,24.7033255,978.3,4.74,250,0,250
12:12:10,12/02/2025,Loanja,Cohort 1,Nongwa Upland,-17.3184514,24.7438966,953.9,3.5,1905,0,1905
18:03:04,12/02/2025,Simungoma,Cohort 1,Lusheshe,-17.425226,24.6732625,971.5,3.8,950,6,956
06:59:27,12/02/2025,Katongo,Cohort 1,Plain Leading To the Zambezi River,-17.4430669,24.4945928,956.5,4.8,3219,0,3219
13:54:26,12/02/2025,Chisu,Cohort 1,Ntenje,-17.2647633,24.3625264,1006.6,3.9,1012,0,1012
14:16:43,13/02/2025,Nakatindi_Kazungula,Cohort 0,,-17.5607143,25.1938006,951.7,4.95,864,0,864
07:59:18,13/02/2025,Sawmills,Cohort 1,Sawmills Mutemwa/ Harvested Fields,-17.4334396,24.3744805,1008,4.883,810,0,810
14:53:14,13/02/2025,Kapokoto,Cohort 1,Mutemwa/ Harvested Fields,-17.3781431,24.382943,1005.2,3.366,660,0,660
17:50:42,14/02/2025,Nakatindi_Kazungula,Cohort 0,,-17.5688587,25.1894826,943.9,4.8,869,0,869
06:11:12,14/02/2025,Kejaya,Cohort 0,Chuwo Plain,-17.074103,25.0453938,978.7,4.4,1001,16,1017
14:53:06,14/02/2025,Kamusa,Cohort 0,Lower Lands,-17.3130376,24.9844054,942.3,4.46,2896,0,2896
17:10:08,15/02/2025,Mushukula,Cohort 1,Sikela,-17.05813,24.507835,1005.8,4.7,1015,0,1015
13:52:43,15/02/2025,Nakalonzya,Cohort 0,Nakalonzya Plain,-17.547993,25.2671378,949.8,4.866,1500,0,1500
12:14:26,17/02/2025,Mutelo,Cohort 0,Lupabanyuni,-17.1344868,25.0878501,950.6,3.9,2552,0,2552
17:18:33,17/02/2025,Katongo,Cohort 1,Plain Leading To the Zambezi River,-17.459549,24.502856,950.2,4.1,3243,0,3243
09:47:37,19/02/2025,Kakulwani,Cohort 1,Nakalamba Forest,-17.4211406,24.7499102,954.2,3.55,2445,0,2445
06:24:15,19/02/2025,Kobya,Cohort 0,Loanja Plain,-17.2828283,24.65993,976.6,3.7,1395,0,1395
11:27:32,19/02/2025,Kapokoto,Cohort 1,Lisheke,-17.3782167,24.3736322,998.8,2.125,707,0,707
15:25:10,19/02/2025,Ibeele,Cohort 1,Nabulongo,-17.0649866,24.3966384,1051.7,4.2,100,0,100
15:29:42,19/02/2025,Chisu,Cohort 1,Chisu Lisheke,-17.2535602,24.3797031,1040,4.097,1012,0,1012
15:37:34,19/02/2025,Kazungwe,Cohort 1,Lisheke,-17.1420783,24.3358933,1041.2,4.84,263,0,263
15:44:17,19/02/2025,Silangu,Cohort 0,Lisa La Tau,-17.2569657,24.745002,948.1,4.78,200,0,200
15:47:19,19/02/2025,Lusinina,Cohort 1,Lisheke,-17.1679933,24.5049545,1029.9,4.733,2010,0,2010
16:09:06,19/02/2025,Lutaba,Cohort 1,Lutaba Lisheke,-17.1642584,24.763451,1008.1,4.966,1005,0,1005
16:58:11,19/02/2025,Simungoma,Cohort 1,Simungoma Mutemwa,-17.4061233,24.6792517,954.9,4.7,1400,5,1405
13:46:27,19/02/2025,Loanja,Cohort 1,Nongwa Upland,-17.3192544,24.7397168,978.7,4.6,2020,0,2020
06:11:25,20/02/2025,Mutuwapafa,Cohort 1,Namatotela Upland,-17.1844812,24.6262801,971.8,5,500,0,500
14:39:38,20/02/2025,Mushukula,Cohort 1,Loanja Plains,-17.0312681,24.4935769,1023,4.85,815,0,815
15:15:20,20/02/2025,Mushukula,Cohort 1,Loanja Plains,-17.030546,24.4928085,1015.4,3.6,700,0,700
15:33:27,20/02/2025,Maondo,Cohort 1,Stock Movement (Closer To The Villages),-17.4311569,24.5395679,930.6,4.95,3500,0,3500
15:33:35,20/02/2025,Tahalima,Cohort 1,Upland Forest,-17.4051223,24.5812486,970.5,4.6,1966,0,1966
17:14:28,20/02/2025,Sitaba,Cohort 0,Sitaba Upland Forest,-17.2241755,24.9231807,938.7,3.15,1946,0,1946
09:57:02,21/02/2025,Kejaya,Cohort 0,Salala,-17.0750402,25.0891128,971.4,2.9,703,21,724
09:59:13,21/02/2025,Nakalonzya,Cohort 0,Nakalonzya Plain,-17.5490194,25.251559,947.7,5,1352,0,1352
10:10:13,21/02/2025,Nkuse,Cohort 1,Samatela Forest,-17.2544717,24.692815,1060.8,5,304,0,304
10:38:52,21/02/2025,Kamusa,Cohort 0,Lower Lands,-17.2949879,24.9618345,952.1,4.766,2891,0,2891
13:50:21,21/02/2025,Sawmills,Cohort 1,Sawmills Mutemwa/ Harvested Fields,-17.4370742,24.3715386,979.2,4.5,500,0,500
10:50:26,21/02/2025,Situwa,Cohort 0,Dondo,-17.5839067,25.1848606,937.1,2.45,326,0,326
12:40:54,21/02/2025,Nakatindi_Kazungula,Cohort 0,,-17.5719404,25.1843543,948.1,4.675,453,0,453
17:14:46,24/02/2025,Mutuwapafa,Cohort 1,Sokwe,-17.1794411,24.5982328,1015.7,4.566,400,0,400
15:58:04,25/02/2025,Nkuse,Cohort 1,Samatela Forest,-17.2272509,24.687166,1052.7,4.733,304,0,304
16:42:12,25/02/2025,Sitaba,Cohort 0,Sitaba Upland Forest,-17.2233908,24.9244179,953.7,3.5,1946,0,1946
08:03:19,26/02/2025,Chisu,Cohort 1,Chikongwe,-17.2486449,24.4053342,1006.5,4.5,1012,0,1012
09:05:09,26/02/2025,Ibeele,Cohort 1,Nkolola,-17.0342081,24.4328877,1055,4.72,50,0,50
09:54:34,26/02/2025,Kazungwe,Cohort 1,Lisheke,-17.1415927,24.3409919,1046.6,3.46,108,0,108
13:59:59,26/02/2025,Lutaba,Cohort 1,Lutaba Local Plain,-17.1743025,24.7569403,993,4.85,900,0,900
14:48:19,26/02/2025,Tahalima,Cohort 1,Upland Forest,-17.4081017,24.5816116,957.4,5,1968,0,1968
15:03:05,26/02/2025,Kamusa,Cohort 0,Machile Plains,-17.3178768,24.9771872,946.3,4.54,1655,0,1655
16:04:40,26/02/2025,Loanja,Cohort 1,Lisa La White,-17.2766961,24.785158,976.2,4.983,2023,0,2023
17:05:10,26/02/2025,Kapokoto,Cohort 1,Lisheke,-17.3920949,24.372719,1039.5,4.35,427,0,427
09:37:03,26/02/2025,Kobya,Cohort 0,Loanja Plain,-17.2819425,24.6614834,982.4,4.4,1402,0,1402
10:21:26,26/02/2025,Nakalonzya,Cohort 0,Nakalonzya Plain,-17.5507284,25.2525537,951.6,3.656,1462,0,1462
11:03:40,26/02/2025,Silangu,Cohort 0,Mulapani,-17.2971237,24.7054645,1013.4,4.8,300,0,300
13:19:02,26/02/2025,Sawmills,Cohort 1,Sawmills Mutemwa/ Harvested Fields,-17.4288141,24.3713313,1013.2,4.933,600,0,600
15:28:20,26/02/2025,Katongo,Cohort 1,Plain Leading To the Zambezi River,-17.4324357,24.4932095,970.8,4.5,3237,0,3237
06:47:34,26/02/2025,Simungoma,Cohort 1,Lusheshe,-17.420579,24.6757,949.7,4.966,685,6,691
07:31:41,27/02/2025,Mushukula,Cohort 1,Loanja Plains,-17.0853527,24.5059137,1082.7,2.462,780,0,780
08:56:13,27/02/2025,Lusinina,Cohort 1,Lisheke,-17.1717661,24.4982561,1044.2,2.685,2013,0,2013
10:32:16,27/02/2025,Kakulwani,Cohort 1,Zambezi Plains,-17.4473793,24.7226282,938.7,2.6,2800,0,2800
20:00:42,27/02/2025,Sitaba,Cohort 0,Sitaba Upland Forest,-17.2226496,24.92083,967.3,2.414,1948,0,1948
15:21:06,27/02/2025,Mutelo,Cohort 0,Chamuseme,-17.1186698,25.1040812,991,4.8,1999,0,1999
15:33:00,27/02/2025,Nakatindi_Kazungula,Cohort 0,,-17.5527044,25.218322,948.5,4.94,535,0,535
13:47:34,28/02/2025,Maondo,Cohort 1,Stock Movement (Closer To The Villages),-17.435529,24.5397709,943.3,4.115,3000,0,3000
10:23:40,28/02/2025,Kejaya,Cohort 0,Chipika,-17.055399,25.0633418,1004.8,2.65,1631,13,1644
10:24:32,28/02/2025,Maondo,Cohort 1,Stock Movement (Closer To The Villages),-17.4354673,24.5397475,943.1,4.533,3000,0,3000
18:21:47,28/02/2025,Situwa,Cohort 0,Situwa Plains,-17.6159043,25.2404925,972,2.8,492,0,492
09:00:23,02/03/2025,Nakatindi_Kazungula,Cohort 0,,-17.5595818,25.1944449,963.4,3.8,635,0,635
12:17:03,03/03/2025,Nakatindi_Kazungula,Cohort 0,Nakatindi Plain,-17.559716,25.1973434,948,3.1,458,0,458
05:16:38,03/03/2025,Kakulwani,Cohort 1,Zambezi Plains,-17.4465301,24.7217758,1102.9,3.5,2520,0,2520
07:58:47,03/03/2025,Kejaya,Cohort 0,Chipika,-17.0538312,25.0631364,1004,2.6,971,13,984
08:19:28,03/03/2025,Mutelo,Cohort 0,Chamuseme,-17.1249769,25.1036873,960.2,4.8,2011,0,2011
09:10:17,03/03/2025,Simungoma,Cohort 1,Simungoma Mutemwa,-17.4061995,24.6797852,957.7,4.966,785,5,790
10:08:15,03/03/2025,Mutuwapafa,Cohort 1,Loanja Plains,-17.2415163,24.6430915,1013.5,4.783,400,0,400
13:36:10,03/03/2025,Katongo,Cohort 1,Plain Leading To the Zambezi River,-17.4333183,24.49985,951.7,4,3246,0,3246
06:24:50,03/03/2025,Tahalima,Cohort 1,Lusheshe,-17.4103503,24.5876455,962.7,4.75,1962,0,1962
07:03:13,03/03/2025,Sawmills,Cohort 1,Sawmills Mutemwa/ Harvested Fields,-17.439367,24.3720345,976.2,4.95,600,0,600
07:59:10,03/03/2025,Maondo,Cohort 1,Stock Movement (Closer To The Villages),-17.4382581,24.5390211,943.9,3.5,2838,0,2838
06:51:35,03/03/2025,Sitaba,Cohort 0,Bukaka,-17.3152766,24.9091584,997.7,4.316,1115,0,1115
06:52:53,04/03/2025,Silangu,Cohort 0,Loanja Plains,-17.2794545,24.6911058,985.3,4.833,300,0,300
18:57:08,04/03/2025,Nkuse,Cohort 1,Samatela Forest,-17.24808,24.7011517,1014,4.666,304,0,304
10:36:02,05/03/2025,Kapokoto,Cohort 1,Lisheke,-17.3918541,24.3458723,1016.1,4.8,437,0,437
02:04:08,05/03/2025,Kapokoto,Cohort 1,Lisheke,-17.3746144,24.370158,1032.9,3,550,0,550
05:58:08,05/03/2025,Kapokoto,Cohort 1,Lisheke,-17.3939983,24.3461783,1027.1,4.233,435,0,435
06:01:20,05/03/2025,Kazungwe,Cohort 1,Lisheke,-17.1415718,24.3473562,1028.4,3.93,312,0,312
06:05:34,05/03/2025,Lutaba,Cohort 1,Lupani,-17.1821192,24.7735715,992.4,4,1025,0,1025
12:58:42,05/03/2025,Loanja,Cohort 1,Lisa La White,-17.2769169,24.7846057,979.2,4.933,2023,0,2023
17:28:15,05/03/2025,Lusinina,Cohort 1,Lisheke,-17.1545233,24.5105033,1022.3,4.503,2010,0,2010
10:28:05,05/03/2025,Chisu,Cohort 1,Ntenje,-17.2797034,24.345925,983,4.7,1012,0,1012
08:07:07,05/03/2025,Ibeele,Cohort 1,Ibaa,-17.0057194,24.3686087,1072.9,3.566,105,0,105
17:21:31,05/03/2025,Mushukula,Cohort 1,Loanja Plains,-17.0250741,24.4915497,988.7,4.816,920,0,920
19:55:14,07/03/2025,Kamusa,Cohort 0,Lower Lands,-17.3082264,24.9360869,963.6,4.12,2996,0,2996
09:13:32,08/03/2025,Situwa,Cohort 0,Kazwili,-17.5985983,25.2653683,960.2999878,4.74,168,0,168
09:44:54,08/03/2025,Kobya,Cohort 0,Loanja Plain,-17.2600553,24.6465339,987.6,4.983,1402,0,1402
08:05:07,09/03/2025,Nakalonzya,Cohort 0,Nakalonzya Plain,-17.5507638,25.2524979,946.2,4.9,1453,0,1453
06:59:08,11/03/2025,Mutuwapafa,Cohort 1,Kalangu,-17.171734,24.6406131,1013.4,4.8,450,0,450
08:12:34,11/03/2025,Mutelo,Cohort 0,Lupabanyuni,-17.1324733,25.07883,971.6,4.4,2322,0,2322
14:40:48,11/03/2025,Sitaba,Cohort 0,Sitaba Upland Forest,-17.2244341,24.9236975,960.8,3.8,1312,0,1312
07:42:10,12/03/2025,Kakulwani,Cohort 1,Nakalamba Forest,-17.4226468,24.7724506,957.7,4.9,2800,0,2800
08:11:17,12/03/2025,Chisu,Cohort 1,Ntenje,-17.2560399,24.3518282,1013.2,4.9,1012,0,1012
11:09:10,12/03/2025,Kazungwe,Cohort 1,Lisheke,-17.1431503,24.3462204,1026,3.45,164,0,164
14:28:54,12/03/2025,Kamusa,Cohort 0,Lower Lands,-17.3223151,24.9698201,910.5,4.983,2981,0,2981
09:43:39,12/03/2025,Silangu,Cohort 0,Kandumbwi,-17.2643764,24.7041501,1002.3,4.75,350,0,350
10:01:09,12/03/2025,Lutaba,Cohort 1,Libala,-17.1551222,24.7151724,1006.5,4.3,1015,0,1015
10:05:19,12/03/2025,Nkuse,Cohort 1,Samatela Forest,-17.24367,24.70536,986.8,4.6,310,0,310
10:06:45,12/03/2025,Mushukula,Cohort 1,Loanja Plains,-16.9994564,24.4898227,1016.5,4.8,100,0,100
14:08:41,12/03/2025,Ibeele,Cohort 1,Kase,-17.00162,24.4454713,1048.5,4.7,521,0,521
15:05:01,12/03/2025,Lusinina,Cohort 1,Lisheke,-17.1698019,24.5017951,1047.7,4.6,2013,0,2013
06:28:18,12/03/2025,Simungoma,Cohort 1,Simungoma Mutemwa,-17.3735229,24.6619552,977,3.214,1855,6,1861
06:56:21,12/03/2025,Tahalima,Cohort 1,Lusheshe,-17.4096898,24.6123167,931.6,3.66,1968,0,1968
07:26:16,12/03/2025,Loanja,Cohort 1,Nongwa Upland,-17.3178652,24.7340775,968.5,4.728,2031,0,2031
08:07:46,12/03/2025,Katongo,Cohort 1,Plain Leading To the Zambezi River,-17.4380312,24.4652677,950.6,2.7,3287,0,3287
14:22:20,12/03/2025,Kapokoto,Cohort 1,Lisheke,-17.3759977,24.3715169,1031.6,4.6,600,0,600
15:16:35,13/03/2025,Nakalonzya,Cohort 0,Nakalonzya Plain,-17.5485639,25.2520333,948.5,3.562,1600,0,1600
15:16:57,13/03/2025,Maondo,Cohort 1,Stock Movement (Closer To The Villages),-17.4303679,24.5375026,940,4.9,3000,0,3000
